threshold,recall_obstacle,specificity,precision,f1,f2,accuracy,mcc,combined_score
0.1,0.9447513812154696,0.848780487804878,0.8465346534653465,0.8929503916449086,0.9233261339092873,0.8937823834196891,0.7928590629758062,0.9133129024246361
0.104,0.9447513812154696,0.848780487804878,0.8465346534653465,0.8929503916449086,0.9233261339092873,0.8937823834196891,0.7928590629758062,0.9133129024246361
0.108,0.9447513812154696,0.848780487804878,0.8465346534653465,0.8929503916449086,0.9233261339092873,0.8937823834196891,0.7928590629758062,0.9133129024246361
0.1121,0.9392265193370166,0.848780487804878,0.845771144278607,0.8900523560209425,0.918918918918919,0.8911917098445595,0.7871588895737869,0.9085819387294234
0.1161,0.9392265193370166,0.8536585365853658,0.85,0.8923884514435696,0.9199134199134199,0.8937823834196891,0.7918719882908416,0.9097744844716185
0.1201,0.9392265193370166,0.8585365853658536,0.8542713567839196,0.8947368421052632,0.9209100758396533,0.8963730569948186,0.7966046248883841,0.9109738805876346
0.1241,0.9392265193370166,0.8585365853658536,0.8542713567839196,0.8947368421052632,0.9209100758396533,0.8963730569948186,0.7966046248883841,0.9109738805876346
0.1281,0.9392265193370166,0.8634146341463415,0.8585858585858586,0.8970976253298153,0.9219088937093276,0.8989637305699482,0.8013571598765441,0.9121802296275469
0.1322,0.9392265193370166,0.8634146341463415,0.8585858585858586,0.8970976253298153,0.9219088937093276,0.8989637305699482,0.8013571598765441,0.9121802296275469
0.1362,0.9392265193370166,0.8634146341463415,0.8585858585858586,0.8970976253298153,0.9219088937093276,0.8989637305699482,0.8013571598765441,0.9121802296275469
0.1402,0.9392265193370166,0.8634146341463415,0.8585858585858586,0.8970976253298153,0.9219088937093276,0.8989637305699482,0.8013571598765441,0.9121802296275469
0.1442,0.9392265193370166,0.8682926829268293,0.8629441624365483,0.8994708994708994,0.9229098805646037,0.9015544041450777,0.8061299582322777,0.913393635904772
0.1482,0.9392265193370166,0.8682926829268293,0.8629441624365483,0.8994708994708994,0.9229098805646037,0.9015544041450777,0.8061299582322777,0.913393635904772
0.1523,0.9392265193370166,0.8731707317073171,0.8673469387755102,0.9018567639257294,0.9239130434782609,0.9041450777202072,0.8109233895396537,0.914614205543503
0.1563,0.9392265193370166,0.8731707317073171,0.8673469387755102,0.9018567639257294,0.9239130434782609,0.9041450777202072,0.8109233895396537,0.914614205543503
0.1603,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1643,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1683,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1724,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1764,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1804,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1844,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1884,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
0.1925,0.9392265193370166,0.8780487804878049,0.8717948717948718,0.9042553191489362,0.9249183895538629,0.9067357512953368,0.8157378281330467,0.9158420465274592
