Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.883,0.8947,0.8947,0.8684,0.8947,0.9557,8,1,0.6736696362495422,0.8830409646034241,,,,,,66,10,10,85
0.9181,0.9091,0.9474,0.8816,0.9278,0.9669,8,2,0.5960671901702881,0.9181286692619324,,,,,,67,9,5,90
0.9181,0.8932,0.9684,0.8553,0.9293,0.973,8,3,0.5490949153900146,0.9181286692619324,,,,,,65,11,3,92
0.9181,0.9175,0.9368,0.8947,0.9271,0.9787,8,4,0.4896796941757202,0.9181286692619324,,,,,,68,8,6,89
0.924,0.8942,0.9789,0.8553,0.9347,0.9778,8,5,0.49350041151046753,0.9239766001701355,,,,,,65,11,2,93
0.924,0.9271,0.9368,0.9079,0.9319,0.9769,8,6,0.4546282887458801,0.9239766001701355,,,,,,69,7,6,89
0.9181,0.8932,0.9684,0.8553,0.9293,0.9744,8,7,0.46782198548316956,0.9181286692619324,,,,,,65,11,3,92
0.8304,0.7705,0.9895,0.6316,0.8664,0.9705,8,8,0.7841073274612427,0.8304093480110168,,,,,,48,28,1,94
0.9298,0.956,0.9158,0.9474,0.9355,0.9807,8,9,0.4105890691280365,0.9298245906829834,,,,,,72,4,8,87
0.9181,0.8932,0.9684,0.8553,0.9293,0.976,8,10,0.42961469292640686,0.9181286692619324,,,,,,65,11,3,92
0.9123,0.8922,0.9579,0.8553,0.9239,0.9769,8,11,0.4086819589138031,0.9122806787490845,,,,,,65,11,4,91
0.9415,0.957,0.9368,0.9474,0.9468,0.9792,8,12,0.37326356768608093,0.9415204524993896,,,,,,72,4,6,89
0.924,0.902,0.9684,0.8684,0.934,0.978,8,13,0.4021351635456085,0.9239766001701355,,,,,,66,10,3,92
0.9181,0.8857,0.9789,0.8421,0.93,0.9777,8,14,0.4132922291755676,0.9181286692619324,,,,,,64,12,2,93
0.9415,0.9381,0.9579,0.9211,0.9479,0.9823,8,15,0.34232422709465027,0.9415204524993896,,,,,,70,6,4,91
0.9298,0.9029,0.9789,0.8684,0.9394,0.9807,8,16,0.3551236391067505,0.9298245906829834,,,,,,66,10,2,93
0.9298,0.9029,0.9789,0.8684,0.9394,0.9819,8,17,0.351341187953949,0.9298245906829834,,,,,,66,10,2,93
0.9181,0.8857,0.9789,0.8421,0.93,0.9771,8,18,0.40625861287117004,0.9181286692619324,,,,,,64,12,2,93
0.924,0.902,0.9684,0.8684,0.934,0.9799,8,19,0.36128339171409607,0.9239766001701355,,,,,,66,10,3,92
0.9181,0.9091,0.9474,0.8816,0.9278,0.9787,8,20,0.3427773118019104,0.9181286692619324,,,,,,67,9,5,90
