Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.883,0.931,0.8526,0.9211,0.8901,0.951,5,1,0.7127538919448853,0.8830409646034241,,,,,,70,6,14,81
0.8538,0.9375,0.7895,0.9342,0.8571,0.9568,5,2,0.6931005120277405,0.8538011908531189,,,,,,71,5,20,75
0.848,0.7851,1.0,0.6579,0.8796,0.9686,5,3,0.6962460875511169,0.847953200340271,,,,,,50,26,0,95
0.8947,0.9529,0.8526,0.9474,0.9,0.9729,5,4,0.5535298585891724,0.8947368264198303,,,,,,72,4,14,81
0.9298,0.9368,0.9368,0.9211,0.9368,0.9734,5,5,0.4746009111404419,0.9298245906829834,,,,,,70,6,6,89
0.9298,0.9368,0.9368,0.9211,0.9368,0.9756,5,6,0.4477011263370514,0.9298245906829834,,,,,,70,6,6,89
0.9181,0.8857,0.9789,0.8421,0.93,0.9753,5,7,0.46818459033966064,0.9181286692619324,,,,,,64,12,2,93
0.9357,0.9375,0.9474,0.9211,0.9424,0.9767,5,8,0.41034653782844543,0.9356725215911865,,,,,,70,6,5,90
0.8772,0.819,1.0,0.7237,0.9005,0.9773,5,9,0.5515592098236084,0.8771929740905762,,,,,,55,21,0,95
0.9123,0.9444,0.8947,0.9342,0.9189,0.9737,5,10,0.43461233377456665,0.9122806787490845,,,,,,71,5,10,85
0.924,0.9457,0.9158,0.9342,0.9305,0.9733,5,11,0.42336827516555786,0.9239766001701355,,,,,,71,5,8,87
0.924,0.9457,0.9158,0.9342,0.9305,0.9763,5,12,0.3799622654914856,0.9239766001701355,,,,,,71,5,8,87
0.9357,0.92,0.9684,0.8947,0.9436,0.9783,5,13,0.36729222536087036,0.9356725215911865,,,,,,68,8,3,92
0.9298,0.9462,0.9263,0.9342,0.9362,0.9769,5,14,0.35894468426704407,0.9298245906829834,,,,,,71,5,7,88
0.9298,0.9462,0.9263,0.9342,0.9362,0.9783,5,15,0.34722089767456055,0.9298245906829834,,,,,,71,5,7,88
0.9298,0.9192,0.9579,0.8947,0.9381,0.9769,5,16,0.35338759422302246,0.9298245906829834,,,,,,68,8,4,91
0.7953,0.9545,0.6632,0.9605,0.7826,0.973,5,17,0.7229130864143372,0.7953216433525085,,,,,,73,3,32,63
0.924,0.9556,0.9053,0.9474,0.9297,0.9747,5,18,0.3891664147377014,0.9239766001701355,,,,,,72,4,9,86
0.883,0.8261,1.0,0.7368,0.9048,0.9788,5,19,0.540519654750824,0.8830409646034241,,,,,,56,20,0,95
0.9181,0.8857,0.9789,0.8421,0.93,0.9799,5,20,0.34554287791252136,0.9181286692619324,,,,,,64,12,2,93
0.9415,0.9474,0.9474,0.9342,0.9474,0.9762,5,21,0.32608044147491455,0.9415204524993896,,,,,,71,5,5,90
0.9474,0.9479,0.9579,0.9342,0.9529,0.9817,5,22,0.29513978958129883,0.9473684430122375,,,,,,71,5,4,91
0.9357,0.92,0.9684,0.8947,0.9436,0.9789,5,23,0.31326255202293396,0.9356725215911865,,,,,,68,8,3,92
0.9123,0.8704,0.9895,0.8158,0.9261,0.9784,5,24,0.4073408246040344,0.9122806787490845,,,,,,62,14,1,94
0.9123,0.8636,1.0,0.8026,0.9268,0.9778,5,25,0.4917685389518738,0.9122806787490845,,,,,,61,15,0,95
0.9298,0.9029,0.9789,0.8684,0.9394,0.9784,5,26,0.343435138463974,0.9298245906829834,,,,,,66,10,2,93
0.9064,0.9438,0.8842,0.9342,0.913,0.978,5,27,0.370117723941803,0.9064327478408813,,,,,,71,5,11,84
