Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.7661,0.9365,0.6211,0.9474,0.7468,0.9447,4,1,0.8452144861221313,0.7660818696022034,,,,,,72,4,36,59
0.9123,0.8846,0.9684,0.8421,0.9246,0.9609,4,2,0.6150224208831787,0.9122806787490845,,,,,,64,12,3,92
0.8538,0.9375,0.7895,0.9342,0.8571,0.9637,4,3,0.6489317417144775,0.8538011908531189,,,,,,71,5,20,75
0.9006,0.9239,0.8947,0.9079,0.9091,0.9688,4,4,0.535527765750885,0.9005848169326782,,,,,,69,7,10,85
0.9123,0.8774,0.9789,0.8289,0.9254,0.9774,4,5,0.5147331357002258,0.9122806787490845,,,,,,63,13,2,93
0.924,0.91,0.9579,0.8816,0.9333,0.9766,4,6,0.45863771438598633,0.9239766001701355,,,,,,67,9,4,91
0.9064,0.9158,0.9158,0.8947,0.9158,0.9741,4,7,0.4544009268283844,0.9064327478408813,,,,,,68,8,8,87
0.9298,0.9192,0.9579,0.8947,0.9381,0.9794,4,8,0.41932982206344604,0.9298245906829834,,,,,,68,8,4,91
0.9181,0.9175,0.9368,0.8947,0.9271,0.9771,4,9,0.4158920347690582,0.9181286692619324,,,,,,68,8,6,89
0.9006,0.9432,0.8737,0.9342,0.9071,0.9778,4,10,0.44680362939834595,0.9005848169326782,,,,,,71,5,12,83
0.9298,0.9109,0.9684,0.8816,0.9388,0.9783,4,11,0.4035464823246002,0.9298245906829834,,,,,,67,9,3,92
0.9123,0.9348,0.9053,0.9211,0.9198,0.9795,4,12,0.39764392375946045,0.9122806787490845,,,,,,70,6,9,86
0.9415,0.9293,0.9684,0.9079,0.9485,0.978,4,13,0.3830697536468506,0.9415204524993896,,,,,,69,7,3,92
0.9298,0.9278,0.9474,0.9079,0.9375,0.978,4,14,0.36978763341903687,0.9298245906829834,,,,,,69,7,5,90
0.9298,0.9192,0.9579,0.8947,0.9381,0.976,4,15,0.385178804397583,0.9298245906829834,,,,,,68,8,4,91
0.807,0.9844,0.6632,0.9868,0.7925,0.9709,4,16,0.8392341732978821,0.8070175647735596,,,,,,75,1,32,63
0.924,0.9184,0.9474,0.8947,0.9326,0.9766,4,17,0.385407418012619,0.9239766001701355,,,,,,68,8,5,90
0.9181,0.9175,0.9368,0.8947,0.9271,0.9755,4,18,0.36610451340675354,0.9181286692619324,,,,,,68,8,6,89
0.924,0.9271,0.9368,0.9079,0.9319,0.9767,4,19,0.37244972586631775,0.9239766001701355,,,,,,69,7,6,89
0.924,0.9271,0.9368,0.9079,0.9319,0.9774,4,20,0.3460972309112549,0.9239766001701355,,,,,,69,7,6,89
0.9123,0.9255,0.9158,0.9079,0.9206,0.9785,4,21,0.33779820799827576,0.9122806787490845,,,,,,69,7,8,87
0.8889,0.9318,0.8632,0.9211,0.8962,0.976,4,22,0.3899265229701996,0.8888888955116272,,,,,,70,6,13,82
0.924,0.9271,0.9368,0.9079,0.9319,0.9747,4,23,0.3510402739048004,0.9239766001701355,,,,,,69,7,6,89
0.9064,0.9341,0.8947,0.9211,0.914,0.9759,4,24,0.3942118287086487,0.9064327478408813,,,,,,70,6,10,85
0.9123,0.9255,0.9158,0.9079,0.9206,0.9735,4,25,0.3589489459991455,0.9122806787490845,,,,,,69,7,8,87
0.9357,0.92,0.9684,0.8947,0.9436,0.976,4,26,0.3553738594055176,0.9356725215911865,,,,,,68,8,3,92
