Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.8246,0.768,0.9897,0.6081,0.8649,0.9547,9,1,0.8299872875213623,0.8245614171028137,,,,,,45,29,1,96
0.9298,0.957,0.9175,0.9459,0.9368,0.9737,9,2,0.5750747323036194,0.9298245906829834,,,,,,70,4,8,89
0.8655,0.9868,0.7732,0.9865,0.8671,0.9738,9,3,0.6498889327049255,0.8654970526695251,,,,,,73,1,22,75
0.9181,0.9278,0.9278,0.9054,0.9278,0.9752,9,4,0.501775860786438,0.9181286692619324,,,,,,67,7,7,90
0.9298,0.9381,0.9381,0.9189,0.9381,0.9738,9,5,0.4838114082813263,0.9298245906829834,,,,,,68,6,6,91
0.9298,0.9381,0.9381,0.9189,0.9381,0.9753,9,6,0.45260030031204224,0.9298245906829834,,,,,,68,6,6,91
0.9298,0.9381,0.9381,0.9189,0.9381,0.9731,9,7,0.4422253966331482,0.9298245906829834,,,,,,68,6,6,91
0.924,0.9286,0.9381,0.9054,0.9333,0.9748,9,8,0.43087238073349,0.9239766001701355,,,,,,67,7,6,91
0.9415,0.9579,0.9381,0.9459,0.9479,0.9778,9,9,0.40428808331489563,0.9415204524993896,,,,,,70,4,6,91
0.9181,0.9109,0.9485,0.8784,0.9293,0.9751,9,10,0.4066385328769684,0.9181286692619324,,,,,,65,9,5,92
0.9298,0.9474,0.9278,0.9324,0.9375,0.9744,9,11,0.4112079441547394,0.9298245906829834,,,,,,69,5,7,90
0.9123,0.902,0.9485,0.8649,0.9246,0.9742,9,12,0.42017069458961487,0.9122806787490845,,,,,,64,10,5,92
0.924,0.9286,0.9381,0.9054,0.9333,0.9734,9,13,0.3853304088115692,0.9239766001701355,,,,,,67,7,6,91
0.9123,0.91,0.9381,0.8784,0.9239,0.9744,9,14,0.3870183527469635,0.9122806787490845,,,,,,65,9,6,91
0.9415,0.978,0.9175,0.973,0.9468,0.9753,9,15,0.3870682418346405,0.9415204524993896,,,,,,72,2,8,89
0.8889,0.8679,0.9485,0.8108,0.9064,0.9727,9,16,0.4214664101600647,0.8888888955116272,,,,,,60,14,5,92
0.9298,0.967,0.9072,0.9595,0.9362,0.9753,9,17,0.3877611756324768,0.9298245906829834,,,,,,71,3,9,88
0.9357,0.9388,0.9485,0.9189,0.9436,0.9758,9,18,0.36364084482192993,0.9356725215911865,,,,,,68,6,5,92
0.9298,0.9381,0.9381,0.9189,0.9381,0.9752,9,19,0.3592357933521271,0.9298245906829834,,,,,,68,6,6,91
0.8947,0.8692,0.9588,0.8108,0.9118,0.9737,9,20,0.4281824231147766,0.8947368264198303,,,,,,60,14,4,93
0.9357,0.9574,0.9278,0.9459,0.9424,0.9769,9,21,0.33652830123901367,0.9356725215911865,,,,,,70,4,7,90
0.9298,0.9293,0.9485,0.9054,0.9388,0.9758,9,22,0.35059690475463867,0.9298245906829834,,,,,,67,7,5,92
0.9298,0.9293,0.9485,0.9054,0.9388,0.9745,9,23,0.3555466830730438,0.9298245906829834,,,,,,67,7,5,92
0.9415,0.9485,0.9485,0.9324,0.9485,0.976,9,24,0.3314369022846222,0.9415204524993896,,,,,,69,5,5,92
0.9357,0.9479,0.9381,0.9324,0.943,0.9744,9,25,0.3422544598579407,0.9356725215911865,,,,,,69,5,6,91
0.8713,0.9747,0.7938,0.973,0.875,0.9763,9,26,0.5827649235725403,0.871345043182373,,,,,,72,2,20,77
0.9064,0.8932,0.9485,0.8514,0.92,0.9744,9,27,0.3804534673690796,0.9064327478408813,,,,,,63,11,5,92
0.9298,0.9381,0.9381,0.9189,0.9381,0.9765,9,28,0.3306652307510376,0.9298245906829834,,,,,,68,6,6,91
0.924,0.9773,0.8866,0.973,0.9297,0.9748,9,29,0.4294224679470062,0.9239766001701355,,,,,,72,2,11,86
0.9298,0.9293,0.9485,0.9054,0.9388,0.9742,9,30,0.34882235527038574,0.9298245906829834,,,,,,67,7,5,92
0.9298,0.9381,0.9381,0.9189,0.9381,0.9709,9,31,0.37923356890678406,0.9298245906829834,,,,,,68,6,6,91
0.9298,0.9293,0.9485,0.9054,0.9388,0.9739,9,32,0.35138174891471863,0.9298245906829834,,,,,,67,7,5,92
0.9298,0.9293,0.9485,0.9054,0.9388,0.9753,9,33,0.3414880931377411,0.9298245906829834,,,,,,67,7,5,92
