Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Training_Accuracy,Training_Val_Accuracy,Training_Loss,Training_Val_Loss,Training_F1,Training_Val_F1,Training_AUC,Training_Val_AUC,Training_Precision,Training_Val_Precision,Training_Recall,Training_Val_Recall,Training_Specificity,Training_Val_Specificity,Training_TN,Training_FP,Training_FN,Training_TP
0.7419,0.6667,1.0,0.4667,0.8,0.9208,0,1,0.7419,0.7419354915618896,2.811476469039917,0.5163758397102356,0.8,,0.9208,,0.6667,,1.0,,0.4667,,7,8,0,16
0.9032,1.0,0.8125,1.0,0.8966,0.9792,0,2,0.9032,0.9032257795333862,0.4511328935623169,0.33611899614334106,0.8966,,0.9792,,1.0,,0.8125,,1.0,,15,0,3,13
0.6452,0.5926,1.0,0.2667,0.7442,0.9125,0,3,0.6452,0.6451612710952759,0.3003300130367279,0.9870325922966003,0.7442,,0.9125,,0.5926,,1.0,,0.2667,,4,11,0,16
0.9355,1.0,0.875,1.0,0.9333,0.9792,0,4,0.9355,0.9354838728904724,0.4880548119544983,0.25678303837776184,0.9333,,0.9792,,1.0,,0.875,,1.0,,15,0,2,14
0.9355,0.9375,0.9375,0.9333,0.9375,0.9708,0,5,0.9355,0.9354838728904724,0.1391596645116806,0.22215023636817932,0.9375,,0.9708,,0.9375,,0.9375,,0.9333,,14,1,1,15
0.7097,1.0,0.4375,1.0,0.6087,0.9917,0,6,0.7097,0.7096773982048035,0.10493123531341553,0.7363474369049072,0.6087,,0.9917,,1.0,,0.4375,,1.0,,15,0,9,7
0.9355,0.9375,0.9375,0.9333,0.9375,0.9708,0,7,0.9355,0.9354838728904724,0.33698153495788574,0.23755361139774323,0.9375,,0.9708,,0.9375,,0.9375,,0.9333,,14,1,1,15
0.9355,0.9375,0.9375,0.9333,0.9375,0.9708,0,8,0.9355,0.9354838728904724,0.07901497185230255,0.2088351845741272,0.9375,,0.9708,,0.9375,,0.9375,,0.9333,,14,1,1,15
0.9032,0.9333,0.875,0.9333,0.9032,0.975,0,9,0.9032,0.9032257795333862,0.03496697172522545,0.1969228982925415,0.9032,,0.975,,0.9333,,0.875,,0.9333,,14,1,2,14
0.9032,0.9333,0.875,0.9333,0.9032,0.9792,0,10,0.9032,0.9032257795333862,0.015542999841272831,0.19885773956775665,0.9032,,0.9792,,0.9333,,0.875,,0.9333,,14,1,2,14
