Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.9181,0.901,0.9579,0.8684,0.9286,0.9659,5,1,0.6328883767127991,0.9181286692619324,,,,,,66,10,4,91
0.924,0.9184,0.9474,0.8947,0.9326,0.9745,5,2,0.5788791179656982,0.9239766001701355,,,,,,68,8,5,90
0.9298,0.9368,0.9368,0.9211,0.9368,0.9744,5,3,0.5584776401519775,0.9298245906829834,,,,,,70,6,6,89
0.9415,0.9474,0.9474,0.9342,0.9474,0.9733,5,4,0.5507234930992126,0.9415204524993896,,,,,,71,5,5,90
0.924,0.9271,0.9368,0.9079,0.9319,0.9799,5,5,0.4954925775527954,0.9239766001701355,,,,,,69,7,6,89
0.9298,0.9368,0.9368,0.9211,0.9368,0.9783,5,6,0.48259520530700684,0.9298245906829834,,,,,,70,6,6,89
0.9474,0.9388,0.9684,0.9211,0.9534,0.9824,5,7,0.43024876713752747,0.9473684430122375,,,,,,70,6,3,92
0.9298,0.9462,0.9263,0.9342,0.9362,0.9748,5,8,0.4494308531284332,0.9298245906829834,,,,,,71,5,7,88
0.9415,0.9381,0.9579,0.9211,0.9479,0.9783,5,9,0.39667078852653503,0.9415204524993896,,,,,,70,6,4,91
0.9357,0.9375,0.9474,0.9211,0.9424,0.9771,5,10,0.400237500667572,0.9356725215911865,,,,,,70,6,5,90
0.9532,0.9485,0.9684,0.9342,0.9583,0.9799,5,11,0.3465404510498047,0.9532163739204407,,,,,,71,5,3,92
0.9474,0.9388,0.9684,0.9211,0.9534,0.9771,5,12,0.35728877782821655,0.9473684430122375,,,,,,70,6,3,92
0.924,0.9271,0.9368,0.9079,0.9319,0.9744,5,13,0.3690715730190277,0.9239766001701355,,,,,,69,7,6,89
0.9415,0.9381,0.9579,0.9211,0.9479,0.9778,5,14,0.344465434551239,0.9415204524993896,,,,,,70,6,4,91
0.9415,0.9381,0.9579,0.9211,0.9479,0.9776,5,15,0.30775538086891174,0.9415204524993896,,,,,,70,6,4,91
0.9357,0.9565,0.9263,0.9474,0.9412,0.9791,5,16,0.3259061276912689,0.9356725215911865,,,,,,72,4,7,88
0.9415,0.9474,0.9474,0.9342,0.9474,0.9799,5,17,0.3016131818294525,0.9415204524993896,,,,,,71,5,5,90
0.9591,0.9583,0.9684,0.9474,0.9634,0.9724,5,18,0.3217179477214813,0.9590643048286438,,,,,,72,4,3,92
0.9474,0.9479,0.9579,0.9342,0.9529,0.9798,5,19,0.29574573040008545,0.9473684430122375,,,,,,71,5,4,91
0.9357,0.9286,0.9579,0.9079,0.943,0.978,5,20,0.2807038128376007,0.9356725215911865,,,,,,69,7,4,91
0.9298,0.9368,0.9368,0.9211,0.9368,0.9733,5,21,0.3343343138694763,0.9298245906829834,,,,,,70,6,6,89
0.9298,0.9278,0.9474,0.9079,0.9375,0.9759,5,22,0.32654330134391785,0.9298245906829834,,,,,,69,7,5,90
0.9298,0.9278,0.9474,0.9079,0.9375,0.9776,5,23,0.3021877408027649,0.9298245906829834,,,,,,69,7,5,90
0.924,0.9271,0.9368,0.9079,0.9319,0.9788,5,24,0.30971112847328186,0.9239766001701355,,,,,,69,7,6,89
0.924,0.9362,0.9263,0.9211,0.9312,0.9784,5,25,0.3064112663269043,0.9239766001701355,,,,,,70,6,7,88
