Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Val_Loss,Val_Accuracy,Val_F1,Val_AUC,Val_Precision,Val_Recall,Val_Specificity,TN,FP,FN,TP
0.9181,0.9091,0.9474,0.8816,0.9278,0.9716,4,1,0.6222853064537048,0.9181286692619324,,,,,,67,9,5,90
0.9298,0.9368,0.9368,0.9211,0.9368,0.9765,4,2,0.5860756039619446,0.9298245906829834,,,,,,70,6,6,89
0.9123,0.9255,0.9158,0.9079,0.9206,0.9745,4,3,0.5836125612258911,0.9122806787490845,,,,,,69,7,8,87
0.9123,0.9167,0.9263,0.8947,0.9215,0.9711,4,4,0.5735442042350769,0.9122806787490845,,,,,,68,8,7,88
0.9123,0.9255,0.9158,0.9079,0.9206,0.9737,4,5,0.5538150668144226,0.9122806787490845,,,,,,69,7,8,87
0.9181,0.9451,0.9053,0.9342,0.9247,0.9747,4,6,0.5202693343162537,0.9181286692619324,,,,,,71,5,9,86
0.924,0.9271,0.9368,0.9079,0.9319,0.9755,4,7,0.4862530827522278,0.9239766001701355,,,,,,69,7,6,89
0.9064,0.899,0.9368,0.8684,0.9175,0.9719,4,8,0.500313937664032,0.9064327478408813,,,,,,66,10,6,89
0.924,0.9271,0.9368,0.9079,0.9319,0.9752,4,9,0.42851802706718445,0.9239766001701355,,,,,,69,7,6,89
0.9123,0.9255,0.9158,0.9079,0.9206,0.9765,4,10,0.4145497977733612,0.9122806787490845,,,,,,69,7,8,87
0.9181,0.9263,0.9263,0.9079,0.9263,0.9697,4,11,0.43934378027915955,0.9181286692619324,,,,,,69,7,7,88
0.9123,0.9348,0.9053,0.9211,0.9198,0.9715,4,12,0.41511061787605286,0.9122806787490845,,,,,,70,6,9,86
0.9181,0.9263,0.9263,0.9079,0.9263,0.9698,4,13,0.4400424659252167,0.9181286692619324,,,,,,69,7,7,88
0.9064,0.9247,0.9053,0.9079,0.9149,0.9713,4,14,0.4014396369457245,0.9064327478408813,,,,,,69,7,9,86
0.9123,0.9255,0.9158,0.9079,0.9206,0.9719,4,15,0.38154447078704834,0.9122806787490845,,,,,,69,7,8,87
0.9181,0.9355,0.9158,0.9211,0.9255,0.9712,4,16,0.3763943016529083,0.9181286692619324,,,,,,70,6,8,87
0.9123,0.9167,0.9263,0.8947,0.9215,0.9677,4,17,0.39464616775512695,0.9122806787490845,,,,,,68,8,7,88
0.924,0.9362,0.9263,0.9211,0.9312,0.9712,4,18,0.3652212619781494,0.9239766001701355,,,,,,70,6,7,88
0.9064,0.9247,0.9053,0.9079,0.9149,0.9699,4,19,0.38702112436294556,0.9064327478408813,,,,,,69,7,9,86
0.924,0.9362,0.9263,0.9211,0.9312,0.9717,4,20,0.35598093271255493,0.9239766001701355,,,,,,70,6,7,88
0.9181,0.9263,0.9263,0.9079,0.9263,0.9706,4,21,0.37765923142433167,0.9181286692619324,,,,,,69,7,7,88
0.924,0.9362,0.9263,0.9211,0.9312,0.9731,4,22,0.3548903167247772,0.9239766001701355,,,,,,70,6,7,88
0.9181,0.9451,0.9053,0.9342,0.9247,0.9719,4,23,0.36650964617729187,0.9181286692619324,,,,,,71,5,9,86
0.9298,0.9462,0.9263,0.9342,0.9362,0.968,4,24,0.38216471672058105,0.9298245906829834,,,,,,71,5,7,88
0.9123,0.9167,0.9263,0.8947,0.9215,0.9687,4,25,0.379668265581131,0.9122806787490845,,,,,,68,8,7,88
0.924,0.9362,0.9263,0.9211,0.9312,0.9659,4,26,0.40949103236198425,0.9239766001701355,,,,,,70,6,7,88
0.8947,0.914,0.8947,0.8947,0.9043,0.9638,4,27,0.45362675189971924,0.8947368264198303,,,,,,68,8,10,85
