Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Training_Accuracy,Training_Val_Accuracy,Training_Loss,Training_Val_Loss,Training_F1,Training_Val_F1,Training_AUC,Training_Val_AUC,Training_Precision,Training_Val_Precision,Training_Recall,Training_Val_Recall,Training_Specificity,Training_Val_Specificity,Training_TN,Training_FP,Training_FN,Training_TP
0.8889,0.8725,0.9368,0.8289,0.9036,0.956,1,1,0.8889,0.8888888955116272,0.7655460238456726,0.27435919642448425,0.9036,,0.956,,0.8725,,0.9368,,0.8289,,63,13,6,89
0.8889,0.9419,0.8526,0.9342,0.895,0.9625,1,2,0.8889,0.8888888955116272,0.2680242359638214,0.27914443612098694,0.895,,0.9625,,0.9419,,0.8526,,0.9342,,71,5,14,81
0.8246,0.9452,0.7263,0.9474,0.8214,0.9602,1,3,0.8246,0.8245614171028137,0.20600806176662445,0.39124783873558044,0.8214,,0.9602,,0.9452,,0.7263,,0.9474,,72,4,26,69
0.8947,0.914,0.8947,0.8947,0.9043,0.9627,1,4,0.8947,0.8947368264198303,0.1351679116487503,0.27837440371513367,0.9043,,0.9627,,0.914,,0.8947,,0.8947,,68,8,10,85
0.9123,0.9167,0.9263,0.8947,0.9215,0.9651,1,5,0.9123,0.9122806787490845,0.1431550234556198,0.27040302753448486,0.9215,,0.9651,,0.9167,,0.9263,,0.8947,,68,8,7,88
0.9006,0.9149,0.9053,0.8947,0.9101,0.9627,1,6,0.9006,0.9005848169326782,0.13451500236988068,0.31135228276252747,0.9101,,0.9627,,0.9149,,0.9053,,0.8947,,68,8,9,86
0.9064,0.9072,0.9263,0.8816,0.9167,0.9634,1,7,0.9064,0.9064327478408813,0.12032206356525421,0.2743557095527649,0.9167,,0.9634,,0.9072,,0.9263,,0.8816,,67,9,7,88
0.8947,0.914,0.8947,0.8947,0.9043,0.9618,1,8,0.8947,0.8947368264198303,0.029662316665053368,0.33907371759414673,0.9043,,0.9618,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8772,0.9302,0.8421,0.9211,0.884,0.9636,1,9,0.8772,0.8771929740905762,0.020791349932551384,0.4201817214488983,0.884,,0.9636,,0.9302,,0.8421,,0.9211,,70,6,15,80
0.9064,0.9158,0.9158,0.8947,0.9158,0.9602,1,10,0.9064,0.9064327478408813,0.1678221970796585,0.3654946982860565,0.9158,,0.9602,,0.9158,,0.9158,,0.8947,,68,8,8,87
0.9006,0.9149,0.9053,0.8947,0.9101,0.9598,1,11,0.9006,0.9005848169326782,0.00987136922776699,0.42875564098358154,0.9101,,0.9598,,0.9149,,0.9053,,0.8947,,68,8,9,86
0.9006,0.9149,0.9053,0.8947,0.9101,0.9607,1,12,0.9006,0.9005848169326782,0.009313949383795261,0.4645802080631256,0.9101,,0.9607,,0.9149,,0.9053,,0.8947,,68,8,9,86
0.9006,0.9149,0.9053,0.8947,0.9101,0.9575,1,13,0.9006,0.9005848169326782,0.18602822721004486,0.3949778079986572,0.9101,,0.9575,,0.9149,,0.9053,,0.8947,,68,8,9,86
0.8947,0.914,0.8947,0.8947,0.9043,0.957,1,14,0.8947,0.8947368264198303,0.006841752678155899,0.46758833527565,0.9043,,0.957,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8889,0.913,0.8842,0.8947,0.8984,0.9575,1,15,0.8889,0.8888888955116272,0.006016290746629238,0.5193220973014832,0.8984,,0.9575,,0.913,,0.8842,,0.8947,,68,8,11,84
0.8947,0.914,0.8947,0.8947,0.9043,0.958,1,16,0.8947,0.8947368264198303,0.0049995495937764645,0.5249931216239929,0.9043,,0.958,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9587,1,17,0.8947,0.8947368264198303,0.004253266844898462,0.5478530526161194,0.9043,,0.9587,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9581,1,18,0.8947,0.8947368264198303,0.004151133354753256,0.5705282092094421,0.9043,,0.9581,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9589,1,19,0.8947,0.8947368264198303,0.0038048075512051582,0.5696769952774048,0.9043,,0.9589,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9583,1,20,0.8947,0.8947368264198303,0.003764884080737829,0.5839957594871521,0.9043,,0.9583,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9583,1,21,0.8947,0.8947368264198303,0.0036463006399571896,0.6045064330101013,0.9043,,0.9583,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9579,1,22,0.8947,0.8947368264198303,0.0038791894912719727,0.6102718710899353,0.9043,,0.9579,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9586,1,23,0.8947,0.8947368264198303,0.0036002881824970245,0.615329921245575,0.9043,,0.9586,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9578,1,24,0.8947,0.8947368264198303,0.003761228872463107,0.6195173859596252,0.9043,,0.9578,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.958,1,25,0.8947,0.8947368264198303,0.0035321603063493967,0.6141725778579712,0.9043,,0.958,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9582,1,26,0.8947,0.8947368264198303,0.0031470018438994884,0.6162425875663757,0.9043,,0.9582,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9581,1,27,0.8947,0.8947368264198303,0.00318852043710649,0.6200600266456604,0.9043,,0.9581,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9578,1,28,0.8947,0.8947368264198303,0.0030727661214768887,0.6249099373817444,0.9043,,0.9578,,0.914,,0.8947,,0.8947,,68,8,10,85
0.8947,0.914,0.8947,0.8947,0.9043,0.9584,1,29,0.8947,0.8947368264198303,0.0031277970410883427,0.6293656229972839,0.9043,,0.9584,,0.914,,0.8947,,0.8947,,68,8,10,85
