Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Training_Accuracy,Training_Val_Accuracy,Training_Loss,Training_Val_Loss,Training_F1,Training_Val_F1,Training_AUC,Training_Val_AUC,Training_Precision,Training_Val_Precision,Training_Recall,Training_Val_Recall,Training_Specificity,Training_Val_Specificity,Training_TN,Training_FP,Training_FN,Training_TP
0.848,0.9059,0.8105,0.8947,0.8556,0.9398,7,1,0.848,0.847953200340271,0.642985999584198,0.31874212622642517,0.8556,,0.9398,,0.9059,,0.8105,,0.8947,,68,8,18,77
0.924,0.91,0.9579,0.8816,0.9333,0.9584,7,2,0.924,0.9239766001701355,0.28286972641944885,0.2432514876127243,0.9333,,0.9584,,0.91,,0.9579,,0.8816,,67,9,4,91
0.9064,0.9072,0.9263,0.8816,0.9167,0.962,7,3,0.9064,0.9064327478408813,0.2037229984998703,0.23492561280727386,0.9167,,0.962,,0.9072,,0.9263,,0.8816,,67,9,7,88
0.8713,0.812,1.0,0.7105,0.8962,0.9651,7,4,0.8713,0.871345043182373,0.1841115951538086,0.340121865272522,0.8962,,0.9651,,0.812,,1.0,,0.7105,,54,22,0,95
0.9181,0.8857,0.9789,0.8421,0.93,0.9683,7,5,0.9181,0.9181286692619324,0.12111550569534302,0.2506158947944641,0.93,,0.9683,,0.8857,,0.9789,,0.8421,,64,12,2,93
0.9123,0.8704,0.9895,0.8158,0.9261,0.9711,7,6,0.9123,0.9122806787490845,0.1295112669467926,0.2629886567592621,0.9261,,0.9711,,0.8704,,0.9895,,0.8158,,62,14,1,94
0.924,0.8868,0.9895,0.8421,0.9353,0.9675,7,7,0.924,0.9239766001701355,0.07131152600049973,0.283735990524292,0.9353,,0.9675,,0.8868,,0.9895,,0.8421,,64,12,1,94
0.9064,0.8692,0.9789,0.8158,0.9208,0.9734,7,8,0.9064,0.9064327478408813,0.16978882253170013,0.26315730810165405,0.9208,,0.9734,,0.8692,,0.9789,,0.8158,,62,14,2,93
0.9181,0.8785,0.9895,0.8289,0.9307,0.9677,7,9,0.9181,0.9181286692619324,0.024383336305618286,0.37240198254585266,0.9307,,0.9677,,0.8785,,0.9895,,0.8289,,63,13,1,94
0.6374,0.6051,1.0,0.1842,0.754,0.9567,7,10,0.6374,0.6374269127845764,0.056346021592617035,2.5138397216796875,0.754,,0.9567,,0.6051,,1.0,,0.1842,,14,62,0,95
0.9181,0.8857,0.9789,0.8421,0.93,0.9727,7,11,0.9181,0.9181286692619324,0.12142190337181091,0.35574743151664734,0.93,,0.9727,,0.8857,,0.9789,,0.8421,,64,12,2,93
0.9181,0.8857,0.9789,0.8421,0.93,0.9722,7,12,0.9181,0.9181286692619324,0.011141007766127586,0.4070791006088257,0.93,,0.9722,,0.8857,,0.9789,,0.8421,,64,12,2,93
0.9006,0.8679,0.9684,0.8158,0.9154,0.9727,7,13,0.9006,0.9005848169326782,0.14278244972229004,0.28762272000312805,0.9154,,0.9727,,0.8679,,0.9684,,0.8158,,62,14,3,92
0.9123,0.8846,0.9684,0.8421,0.9246,0.9727,7,14,0.9123,0.9122806787490845,0.01135985180735588,0.3325423300266266,0.9246,,0.9727,,0.8846,,0.9684,,0.8421,,64,12,3,92
0.9123,0.8846,0.9684,0.8421,0.9246,0.972,7,15,0.9123,0.9122806787490845,0.005498618818819523,0.38333794474601746,0.9246,,0.972,,0.8846,,0.9684,,0.8421,,64,12,3,92
0.9123,0.8846,0.9684,0.8421,0.9246,0.9727,7,16,0.9123,0.9122806787490845,0.004778985865414143,0.4219592213630676,0.9246,,0.9727,,0.8846,,0.9684,,0.8421,,64,12,3,92
0.9064,0.8835,0.9579,0.8421,0.9192,0.9724,7,17,0.9064,0.9064327478408813,0.003902793163433671,0.45135608315467834,0.9192,,0.9724,,0.8835,,0.9579,,0.8421,,64,12,4,91
0.9064,0.8835,0.9579,0.8421,0.9192,0.9708,7,18,0.9064,0.9064327478408813,0.0036775937769562006,0.4649057984352112,0.9192,,0.9708,,0.8835,,0.9579,,0.8421,,64,12,4,91
0.9123,0.8922,0.9579,0.8553,0.9239,0.972,7,19,0.9123,0.9122806787490845,0.0029664987232536077,0.4654408097267151,0.9239,,0.972,,0.8922,,0.9579,,0.8553,,65,11,4,91
0.9123,0.8922,0.9579,0.8553,0.9239,0.9721,7,20,0.9123,0.9122806787490845,0.003288427833467722,0.4764578640460968,0.9239,,0.9721,,0.8922,,0.9579,,0.8553,,65,11,4,91
0.9123,0.8922,0.9579,0.8553,0.9239,0.9719,7,21,0.9123,0.9122806787490845,0.002938861260190606,0.4889562427997589,0.9239,,0.9719,,0.8922,,0.9579,,0.8553,,65,11,4,91
0.9123,0.8922,0.9579,0.8553,0.9239,0.9713,7,22,0.9123,0.9122806787490845,0.0026005355175584555,0.4957028329372406,0.9239,,0.9713,,0.8922,,0.9579,,0.8553,,65,11,4,91
0.9123,0.8922,0.9579,0.8553,0.9239,0.9722,7,23,0.9123,0.9122806787490845,0.002968728542327881,0.5044946670532227,0.9239,,0.9722,,0.8922,,0.9579,,0.8553,,65,11,4,91
0.9123,0.9,0.9474,0.8684,0.9231,0.9719,7,24,0.9123,0.9122806787490845,0.0022070701234042645,0.4951194226741791,0.9231,,0.9719,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.972,7,25,0.9123,0.9122806787490845,0.002377061638981104,0.5003069639205933,0.9231,,0.972,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9719,7,26,0.9123,0.9122806787490845,0.002198966918513179,0.5050163865089417,0.9231,,0.9719,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9719,7,27,0.9123,0.9122806787490845,0.0021693871822208166,0.5132028460502625,0.9231,,0.9719,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.972,7,28,0.9123,0.9122806787490845,0.0022846225183457136,0.5170426964759827,0.9231,,0.972,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9717,7,29,0.9123,0.9122806787490845,0.002129951026290655,0.5210610032081604,0.9231,,0.9717,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9181,0.901,0.9579,0.8684,0.9286,0.9716,7,30,0.9181,0.9181286692619324,0.002110834466293454,0.5272271633148193,0.9286,,0.9716,,0.901,,0.9579,,0.8684,,66,10,4,91
0.9123,0.9,0.9474,0.8684,0.9231,0.9717,7,31,0.9123,0.9122806787490845,0.002314160345122218,0.527975857257843,0.9231,,0.9717,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.972,7,32,0.9123,0.9122806787490845,0.002305316738784313,0.534080445766449,0.9231,,0.972,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9718,7,33,0.9123,0.9122806787490845,0.002333612646907568,0.5348479747772217,0.9231,,0.9718,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9722,7,34,0.9123,0.9122806787490845,0.00190637051127851,0.5364302396774292,0.9231,,0.9722,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9722,7,35,0.9123,0.9122806787490845,0.0020068371668457985,0.5371639728546143,0.9231,,0.9722,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9722,7,36,0.9123,0.9122806787490845,0.0020410825964063406,0.5384113192558289,0.9231,,0.9722,,0.9,,0.9474,,0.8684,,66,10,5,90
0.9123,0.9,0.9474,0.8684,0.9231,0.9721,7,37,0.9123,0.9122806787490845,0.002079520607367158,0.5385880470275879,0.9231,,0.9721,,0.9,,0.9474,,0.8684,,66,10,5,90
