filename,y_true,y_pred,y_pred_prob,Precision,Recall,F1-Score,TN,FP,FN,TP
clear.0000.jpg,1,1,0.87086576,1.0,1.0,1.0,0,0,0,0
clear.0001.jpg,1,1,0.9971193,1.0,1.0,1.0,0,0,0,0
clear.0002.jpg,1,1,0.9962564,1.0,1.0,1.0,0,0,0,0
clear.0003.jpg,1,1,0.9837963,1.0,1.0,1.0,0,0,0,0
clear.0004.jpg,1,1,0.5644003,1.0,1.0,1.0,0,0,0,0
clear.0005.jpg,1,1,0.9988985,1.0,1.0,1.0,0,0,0,0
clear.0006.jpg,1,1,0.9981155,1.0,1.0,1.0,0,0,0,0
clear.0007.jpg,1,1,0.99968743,1.0,1.0,1.0,0,0,0,0
clear.0008.jpg,1,1,0.9992566,1.0,1.0,1.0,0,0,0,0
clear.0009.jpg,1,1,0.9825116,1.0,1.0,1.0,0,0,0,0
clear.0010.jpg,1,1,0.9994927,1.0,1.0,1.0,0,0,0,0
clear.0011.jpg,1,1,0.9922719,1.0,1.0,1.0,0,0,0,0
clear.0012.jpg,1,1,0.99839795,1.0,1.0,1.0,0,0,0,0
clear.0013.jpg,1,1,0.99614215,1.0,1.0,1.0,0,0,0,0
clear.0014.jpg,1,1,0.9410132,1.0,1.0,1.0,0,0,0,0
clear.0015.jpg,1,1,0.9861613,1.0,1.0,1.0,0,0,0,0
clear.0016.jpg,1,0,0.029154358,0.0,0.0,0.0,0,0,1,0
clear.0017.jpg,1,1,0.9953512,1.0,1.0,1.0,0,0,0,0
clear.0018.jpg,1,1,0.99997795,1.0,1.0,1.0,0,0,0,0
clear.0019.jpg,1,1,0.989722,1.0,1.0,1.0,0,0,0,0
clear.0020.jpg,1,1,0.98331887,1.0,1.0,1.0,0,0,0,0
clear.0021.jpg,1,1,0.99572897,1.0,1.0,1.0,0,0,0,0
clear.0022.jpg,1,1,0.98666817,1.0,1.0,1.0,0,0,0,0
clear.0023.jpg,1,1,0.9998284,1.0,1.0,1.0,0,0,0,0
clear.0024.jpg,1,1,0.99673605,1.0,1.0,1.0,0,0,0,0
clear.0025.jpg,1,0,0.20176327,0.0,0.0,0.0,0,0,1,0
clear.0026.jpg,1,1,0.9981904,1.0,1.0,1.0,0,0,0,0
clear.0027.jpg,1,1,0.97813565,1.0,1.0,1.0,0,0,0,0
clear.0028.jpg,1,1,0.99969697,1.0,1.0,1.0,0,0,0,0
clear.0029.jpg,1,1,0.99991775,1.0,1.0,1.0,0,0,0,0
clear.0030.jpg,1,1,0.98571765,1.0,1.0,1.0,0,0,0,0
clear.0031.jpg,1,1,0.9816461,1.0,1.0,1.0,0,0,0,0
clear.0032.jpg,1,1,0.9778464,1.0,1.0,1.0,0,0,0,0
clear.0033.jpg,1,0,0.03822878,0.0,0.0,0.0,0,0,1,0
clear.0034.jpg,1,1,0.9968359,1.0,1.0,1.0,0,0,0,0
clear.0035.jpg,1,1,0.998523,1.0,1.0,1.0,0,0,0,0
clear.0036.jpg,1,1,0.9999443,1.0,1.0,1.0,0,0,0,0
clear.0037.jpg,1,1,0.9999813,1.0,1.0,1.0,0,0,0,0
clear.0038.jpg,1,1,0.9996775,1.0,1.0,1.0,0,0,0,0
clear.0039.jpg,1,1,0.9952225,1.0,1.0,1.0,0,0,0,0
clear.0040.jpg,1,1,0.999851,1.0,1.0,1.0,0,0,0,0
clear.0041.jpg,1,1,0.9999493,1.0,1.0,1.0,0,0,0,0
clear.0042.jpg,1,1,0.9999988,1.0,1.0,1.0,0,0,0,0
clear.0043.jpg,1,1,0.99991834,1.0,1.0,1.0,0,0,0,0
clear.0044.jpg,1,1,0.99882483,1.0,1.0,1.0,0,0,0,0
clear.0045.jpg,1,1,0.99950105,1.0,1.0,1.0,0,0,0,0
clear.0046.jpg,1,1,0.9961773,1.0,1.0,1.0,0,0,0,0
clear.0047.jpg,1,1,0.9995362,1.0,1.0,1.0,0,0,0,0
clear.0048.jpg,1,1,0.99999994,1.0,1.0,1.0,0,0,0,0
