filename,y_true,y_pred,y_pred_prob,best_threshold,Precision,Recall,F1-Score,TN,FP,FN,TP
clear.0000.jpg,1,1,0.6126076,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0001.jpg,1,1,0.9975542,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0002.jpg,1,1,0.99928683,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0003.jpg,1,1,0.9959559,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0004.jpg,1,0,0.0001611924,0.5999957670489562,0.0,0.0,0.0,0,0,1,0
clear.0005.jpg,1,1,0.9996403,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0006.jpg,1,1,0.99960876,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0007.jpg,1,1,0.97810215,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0008.jpg,1,1,0.9999336,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0009.jpg,1,0,0.22660837,0.5999957670489562,0.0,0.0,0.0,0,0,1,0
clear.0010.jpg,1,1,0.98025364,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0011.jpg,1,1,0.98927766,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0012.jpg,1,1,0.9438094,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0013.jpg,1,1,0.9999863,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0014.jpg,1,1,0.9907672,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0015.jpg,1,0,0.33758137,0.5999957670489562,0.0,0.0,0.0,0,0,1,0
clear.0016.jpg,1,1,0.98619235,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0017.jpg,1,1,0.9986963,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0018.jpg,1,1,0.99961716,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0019.jpg,1,1,0.9997764,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0020.jpg,1,1,0.99991196,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0021.jpg,1,1,0.99990374,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0022.jpg,1,1,0.99999255,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0023.jpg,1,1,0.9999551,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
clear.0024.jpg,1,1,0.9998133,0.5999957670489562,1.0,1.0,1.0,0,0,0,1
